text,class
"Eran tan pero tan feministas que invisibilizaban constantemente a las trabajadoras sexuales, haciéndole creer al mundo que eran incapaces de decidir y que cada vez que ejercían su derecho a hacerlo estaban siendo violadas.",0
@Eneatipo7 @Cooperativa @karina_ol Me carga en lo q se convirtió la 2da vuelta a la gobernación...una flaiterío.,0
", ¿Sabrán las femiorcas como @karina_ol y todo el flaiterio mapuchento , que si hay una cultura y sociedad absolutamente hetero patriarcal, de un machismo extremo, es justamente la mapuche?",1
@AntoDelLaw @jonaovalle @CarolinaLeitao @penalolen Una vecina que nada tenia que ver con este flaiterio de sus hijas,0
@Ciudadanolevi1 Debajo de que piedra estaba ese flaiterio?,0
"@huinka2000 Esto lo vengo diciendo desde el voto obligado por Piñera.
Dejemos el país en manos de la izquierda 4 años, así nunca más volverán a gobernar.
El flaiterio tiene que saber que es pasar hambre y perder Libertades",0
"Que un militar te diga:""amigo mejor entre la bicicleta y pase con ella a votar. Este lugar es peligroso"" da a pensar que los flaites se las ganan a los milicos. Que lata!!! Eso es vivir en una narco comuna po.",0
@13mae13 Por esto lados muchos flaites de pelo pintado,0
"@rodolfopereze Haber, pensando en la cantidad de flaites ignorantes que hay, dos meses.",0
"@Don_CarpeDiem_ @japo97 @alb0black @SauconyLATAM Entiendo. Haces referencia al flaite cuando es pobre. Yo me refiero a la gente con gustos/costumbres flaites, que no necesariamente las adquieren por vulnerabilidad. 
Sorry lo insistente, pero por ejemplo el hijo de la Argandoña cero carencia y harto cuma el wn.",0
@CEspinozaQ @Cooperativa Jueron loh pacohhh..típica frase de loa flaites retardados,0
"@Piri_Iriarte @pameharmon FUERA LOS FLAITES !!!
FUERA LOS 34 MACABROS DEL MAPOCHO 🤡⚠️🐄🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🐄 https://t.co/A9t7bzXI5r",0
@24HorasTVN Todos los flaites pueden quedarse en su casa sacandose los mocos..,0
@24HorasTVN Pero alla no tienen flaites,0
"@alb0black No será musho? No se trata de “rotos” creo yo. Se trata de flaites que llenan las tiendas deportivas. Es cosa de asomarse, las tiendas nike o adidas son las más llenas.",0
"Los descriteriados de la plaza ñuñoa son igual de descriteriados q los del costanera, parque arauco, alto las condes, los q se fueron de vacas a brazil o los q andan en arabia saudita. Manga de flaites.",0
"@GnomoDavid Csm 🤣🤣🤣🤣,y los flaites no entenderán nada, jaja",0
@ekielmarin @latercera 😂😂😂😂 espero que la institución que se venga sea mas dura con los flaites que webean todos los Viernes en Plaza Italia.,0
"@mmlagoscc Se está iluminando, esto es resultado del populismo barato; eso pasa cuando se elige gente que no tiene la mínima preparación para escribir algo tan serio como la Constitución de un país. Puros flaites ignorantes.",0
"Las dos cagadas de la cabeza, ordinarias, picantes, flaites... https://t.co/bOw60e8nwF",0
@mmlagoscc Le habla a los 34 flaites de la lista del pueblo o los pelotudos del partido comunista y frente amplio? Ve cómo cambia la cosa cuando se toma los remedios.,0
@hugoluisdh @YodaZurdo @jgalemparte WAJAJAJA....PUROS FLAITES IGNORANTES...,0
@LaEufe Flaites según la gran @tere_marinovic,0
@cherrerafe Siiii jajajajaja no hay nadie q se salve… todos flaites!,1
@krasnoffKathryn No faltan los flaites,0
"@MaherIsi En lo personal me parece buena idea, ya vemos cómo con la actual justicia tenemos a los flaites saliendo libre a las 2 hrs.  Con este sistema de jurado, me imagino tipo USA, la ciudadanía que sufre de esos flaites dudo que lo dejen libre a las 2 hrs.",0
